ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
CRUS,"Cirrus Logic, Inc.",Technology,2022-12-31,2023-03-18,0.655960458868553,0.07858879575772668,0.30254014598540147,229,332,561
CTRA,Coterra Energy Inc.,Energy,2022-12-31,2023-03-18,0.2882789479428135,0.2692396143434718,0.7105648986632169,532,33,565
HRMY,"Harmony Biosciences Holdings, Inc.",Healthcare,2022-12-31,2023-03-18,46.77613680528566,0.05083534645050365,0.16118797709923663,1,565,566
UNH,UnitedHealth Group Incorporated,Healthcare,2022-12-31,2023-03-18,2.1479830790149568,0.05430895711473978,0.17735463258785944,34,533,567
PARA,Paramount Global,Communication Services,2022-12-31,2023-03-18,0.6477004716981132,0.07842926019265152,1.798984771573604,233,334,567
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,2022-12-31,2023-03-18,0.3989395378284267,0.11386800631649062,0.23880827663716458,394,173,567
DHI,"D.R. Horton, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.30765123807121536,0.19658446341038974,0.6025041050903119,498,69,567
PARAA,Paramount Global,Communication Services,2022-12-31,2023-03-18,0.6477004716981132,0.07837328492569279,1.5368603642671292,233,335,568
EOG,"EOG Resources, Inc.",Energy,2022-12-31,2023-03-18,0.32507739938080493,0.16572854681132074,0.41034549878345494,469,103,572
DFH,"Dream Finders Homes, Inc.",Consumer Cyclical,2022-12-31,2023-03-18,0.27472068094768715,0.3667827364785633,0.5618811881188119,559,13,572
BRC,Brady Corporation,Industrials,2023-01-31,2023-03-18,0.5853293116948831,0.0795634313002574,0.37779716889664533,248,326,574
ARW,"Arrow Electronics, Inc.",Technology,2022-12-31,2023-03-18,0.29737793384060135,0.20877093823941906,0.8028387650085764,513,62,575
FWRD,Forward Air Corporation,Industrials,2022-12-31,2023-03-18,0.49567826459680575,0.08969533061572875,0.25915834383787456,308,268,576
SSD,"Simpson Manufacturing Co., Inc.",Basic Materials,2022-12-31,2023-03-18,0.46344675934401686,0.09498975510123955,0.3220422808378588,332,245,577
CRC,California Resources Corporation,Energy,2022-12-31,2023-03-18,0.2829336114007647,0.2512476005175103,0.733493771234428,546,44,590
AMGN,Amgen Inc.,Healthcare,2022-12-31,2023-03-18,1.2470789398689086,0.056063085409328584,0.029835937160015667,78,516,594
LCII,LCI Industries,Consumer Cyclical,2022-12-31,2023-03-18,0.3234645569812751,0.13922573292816565,0.5237276807027594,471,127,598
ATEN,"A10 Networks, Inc.",Technology,2022-12-31,2023-03-18,1.1891673226624684,0.056005738494017875,0.17048611111111112,83,517,600
FLR,Fluor Corporation,Industrials,2022-12-31,2023-03-18,0.5058430717863105,0.08360100369764756,0.4303497942386831,300,301,601
ZBRA,Zebra Technologies Corporation,Technology,2022-12-31,2023-03-18,1.3664233576642335,0.054298484684669655,0.1839839285095771,68,534,602
